Variant,Sample Weights?,Threshold Strategy,Threshold (t),Accuracy,Precision,Recall,F1-Score,AUC-ROC,Total Loss (R$),Loss Per Order
Variant 1: Cost-Unaware XGBoost,No,Default (t=0.50),0.5,90.83%,77.71%,35.34%,48.58%,75.75%,"R$ 102,252.06",R$ 4.6168
Variant 2: Cost-Aware XGBoost,Yes,Default (t=0.50),0.5,85.37%,41.30%,46.09%,43.57%,75.24%,"R$ 117,853.83",R$ 5.3212
Variant 3: Cost-Aware XGBoost + OOF Threshold,Yes,OOF Tuned (t=0.61),0.61,89.49%,60.48%,41.05%,48.90%,75.24%,"R$ 103,602.45",R$ 4.6777
